Problem, xomo_all , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 137671170.996 , IQR-HV, 3170568.51503 , Median-spreads, 0.589791385081 , IQR-spreads, 0.0510994043135 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 136585902.516 , IQR-HV, 4744727.5442 , Median-spreads, 0.599031611577 , IQR-spreads, 0.0575414101394 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 137913017.736 , IQR-HV, 2622868.1496 , Median-spreads, 0.585577907218 , IQR-spreads, 0.0408643266111 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 136333567.471 , IQR-HV, 2031875.71805 , Median-spreads, 0.609760541374 , IQR-spreads, 0.0583755147276 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 138523922.273 , IQR-HV, 2492440.26795 , Median-spreads, 0.587177036946 , IQR-spreads, 0.0523401553089 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 138107054.851 , IQR-HV, 1603112.99023 , Median-spreads, 0.609280912416 , IQR-spreads, 0.0515694481406 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 137846438.77 , IQR-HV, 2799691.20932 , Median-spreads, 0.595925820741 , IQR-spreads, 0.0284646657159 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 138436139.388 , IQR-HV, 2124521.8187 , Median-spreads, 0.596377493499 , IQR-spreads, 0.0458371941131 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, SPEA2SC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 138767521.476 , IQR-HV, 4029560.6713 , Median-spreads, 0.581819263649 , IQR-spreads, 0.0345001223334 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_all , Algorithm, NSGAIISC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 137504431.343 , IQR-HV, 2760260.5232 , Median-spreads, 0.605066485633 , IQR-spreads, 0.0452615691852 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 137658274.31 , IQR-HV, 4050010.64698 , Median-spreads, 0.591082344113 , IQR-spreads, 0.0646907927468 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 135855257.403 , IQR-HV, 3084448.3724 , Median-spreads, 0.627140550379 , IQR-spreads, 0.0691177986391 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 136470389.476 , IQR-HV, 2657189.9746 , Median-spreads, 0.588118029867 , IQR-spreads, 0.0622911473509 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 138415221.49 , IQR-HV, 4099991.5694 , Median-spreads, 0.595572015639 , IQR-spreads, 0.0653298172993 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 137317187.118 , IQR-HV, 3302970.124 , Median-spreads, 0.572173101404 , IQR-spreads, 0.03113507761 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 136384358.07 , IQR-HV, 3639676.1267 , Median-spreads, 0.601615340362 , IQR-spreads, 0.0685472891626 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, xomo_ground , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 136431787.784 , IQR-HV, 3697954.57043 , Median-spreads, 0.602553286203 , IQR-spreads, 0.0562362397109 , Median-PFS, 100.0 , IQR-PFS, 0.0
